,step,AverageReturn
400,40100,-1102.43994140625
401,40200,-980.0
402,40300,-1171.510009765625
403,40400,-1084.1099853515625
404,40500,-1077.550048828125
405,40600,-1009.989990234375
406,40700,-1036.7099609375
407,40800,-1136.5400390625
408,40900,-1064.8299560546875
409,41000,-1129.6500244140625
410,41100,-1140.27001953125
411,41200,-1018.9099731445312
412,41300,-1098.5999755859375
413,41400,-1047.5799560546875
414,41500,-1088.77001953125
415,41600,-1005.219970703125
416,41700,-972.6300048828125
417,41800,-1005.8400268554688
418,41900,-1072.260009765625
419,42000,-1021.4099731445312
420,42100,-983.4299926757812
421,42200,-1031.8699951171875
422,42300,-1222.0699462890625
423,42400,-1024.81005859375
424,42500,-1072.3699951171875
425,42600,-1108.3699951171875
426,42700,-985.6199951171875
427,42800,-1050.530029296875
428,42900,-1038.1500244140625
429,43000,-1076.4100341796875
430,43100,-1194.75
431,43200,-1072.449951171875
432,43300,-1035.510009765625
433,43400,-1095.989990234375
434,43500,-1119.4200439453125
435,43600,-1108.47998046875
436,43700,-1100.22998046875
437,43800,-1103.0999755859375
438,43900,-1104.9300537109375
439,44000,-1220.280029296875
440,44100,-1010.0999755859375
441,44200,-1033.52001953125
442,44300,-1208.780029296875
443,44400,-967.0599975585938
444,44500,-1112.989990234375
445,44600,-1033.93994140625
446,44700,-1017.5900268554688
447,44800,-1064.449951171875
448,44900,-975.3099975585938
449,45000,-1036.8399658203125
450,45100,-1040.5799560546875
451,45200,-1028.3199462890625
452,45300,-1058.6199951171875
453,45400,-1125.0899658203125
454,45500,-966.7100219726562
455,45600,-1009.780029296875
456,45700,-1118.6099853515625
457,45800,-1136.719970703125
458,45900,-1045.030029296875
459,46000,-1145.7900390625
460,46100,-1084.030029296875
461,46200,-1033.5699462890625
462,46300,-1152.02001953125
463,46400,-1051.3699951171875
464,46500,-1080.1600341796875
465,46600,-1058.3800048828125
466,46700,-985.4199829101562
467,46800,-1095.3299560546875
468,46900,-1132.52001953125
469,47000,-1037.8299560546875
470,47100,-1002.2899780273438
471,47200,-1067.969970703125
472,47300,-1050.1800537109375
473,47400,-1002.22998046875
474,47500,-975.030029296875
475,47600,-1101.4000244140625
476,47700,-974.739990234375
477,47800,-1207.510009765625
478,47900,-1051.4300537109375
479,48000,-1004.2100219726562
480,48100,-1009.8599853515625
481,48200,-979.969970703125
